Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,batchnorm,epochs,layers,lr,num_layers,relu,sensor,duration,mse_list
2023-04-23 14:20:26,51ms,abc0787009234ada855cbb2a0edf7615,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 40",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,40,False,500,128_256_512_,1e-05,4,True,lidar,79.24761152267456,37.494344317118326
2023-04-23 14:08:17,56ms,0c40016f847b43c185ea1ba695f1c52b,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 40",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,40,True,500,64_128_256_,1e-05,4,True,lidar,96.41198706626892,37.67217437744141
2023-04-23 14:42:05,56ms,178f90401e1a40fe86ed5cd1d76cec03,"Neural net (lidar) | layers: 5, epochs: 500, lr: 1e-05, batchsize: 50",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,50,False,500,128_256_512_1024_,1e-05,5,True,lidar,78.99717688560486,39.244465573628744
2023-04-23 14:13:19,50ms,bcc6e80a9e004178bd2c07bc4a726ff9,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 50",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,50,True,500,64_128_256_,1e-05,4,True,lidar,83.50599527359009,40.353111267089844
2023-04-23 15:46:25,57ms,bcacb3050d874ccb8102bdb200dfa2fa,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 50",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,50,False,500,512_256_32_,1e-05,4,True,lidar,69.97733449935913,42.32354202270508
2023-04-23 14:17:52,51ms,eda8e3cc36e84c90a4c5b3b0b1cf6ea6,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 60",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,60,True,500,64_128_256_,1e-05,4,True,lidar,74.8075909614563,44.37384094238281
2023-04-23 15:51:13,56ms,d4607244a0a44718afae03bd6fde9a10,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 60",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,60,False,500,512_256_32_,1e-05,4,True,lidar,63.78285622596741,44.87292995452881
2023-04-23 14:25:52,56ms,83ac305ba7754d31849541ceb96a3b1e,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 50",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,50,False,500,128_256_512_,1e-05,4,True,lidar,70.11250329017639,47.066355578104655
2023-04-23 14:47:33,54ms,c9ef7cc7a44448948bd9c19973fb91a8,"Neural net (lidar) | layers: 5, epochs: 500, lr: 1e-05, batchsize: 60",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,60,False,500,128_256_512_1024_,1e-05,5,True,lidar,71.10395932197571,49.217900085449216
2023-04-23 15:31:15,56ms,9a59c25a1bef47b1a369f70868242f35,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 50",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,50,False,500,256_128_32_,1e-05,4,True,lidar,71.34692597389221,51.81921904881795
2023-04-23 14:05:09,51ms,da16541013134a12845334add3ff26a8,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 40",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,40,False,500,64_128_256_,1e-05,4,True,lidar,80.43023991584778,52.529665552775064
