,batch_size,batchnorm,epochs,layers,lr,num_layers,relu,sensor,mse_list
776,200,True,300,32_128_,7.5e-06,3,True,lidar,145.01907857259116
782,100,True,450,32_,7.5e-06,2,True,lidar,148.2142204284668
791,100,True,150,64_128_,7.5e-06,3,True,lidar,150.1979736328125
793,50,True,150,64_,7.5e-06,2,True,lidar,150.26133969624837
795,200,True,450,64_,1e-05,2,True,lidar,151.79471893310546
797,100,True,150,16_32_64_,7.5e-06,4,True,lidar,152.69048207600912
800,100,True,300,32_,1e-05,2,True,lidar,153.2812822977702
802,100,True,300,64_,7.5e-06,2,True,lidar,153.41159388224284
803,100,True,150,32_128_,7.5e-06,3,True,lidar,153.4590731302897
804,50,True,150,32_,1e-05,2,True,lidar,153.51115125020343
822,200,True,150,32_64_128_,1e-05,4,True,lidar,159.37209879557292
825,200,True,450,64_,7.5e-06,2,True,lidar,160.09491882324218
828,100,True,300,32_,7.5e-06,2,True,lidar,160.67435735066732
829,200,True,150,64_64_128_,1e-05,4,True,lidar,160.77008921305338
832,100,True,150,64_,1e-05,2,True,lidar,161.89622141520184
833,50,True,150,32_,7.5e-06,2,True,lidar,161.93552220662434
841,200,True,450,32_,1e-05,2,True,lidar,164.27132263183594
842,200,True,300,64_,1e-05,2,True,lidar,164.28412272135418
844,200,True,150,64_64_128_,7.5e-06,4,True,lidar,165.2730234781901
860,200,True,150,32_64_128_,7.5e-06,4,True,lidar,168.59018046061198
863,200,True,300,64_,7.5e-06,2,True,lidar,168.9117441813151
864,200,True,450,32_,7.5e-06,2,True,lidar,169.15086263020834
866,200,True,150,64_128_,1e-05,3,True,lidar,169.42876688639322
870,200,True,150,16_32_64_,1e-05,4,True,lidar,170.84213053385415
874,200,True,300,32_,1e-05,2,True,lidar,172.13287963867188
877,100,True,150,32_,1e-05,2,True,lidar,172.44904352823897
879,200,True,150,32_128_,1e-05,3,True,lidar,173.01460825602214
884,200,True,150,64_128_,7.5e-06,3,True,lidar,173.93433939615886
895,100,True,150,64_,7.5e-06,2,True,lidar,177.1560811360677
898,200,True,150,32_128_,7.5e-06,3,True,lidar,178.39645080566407
903,100,True,150,32_,7.5e-06,2,True,lidar,181.52345479329423
904,200,True,300,32_,7.5e-06,2,True,lidar,181.53917134602864
911,200,True,150,64_,1e-05,2,True,lidar,184.64624684651693
915,200,True,150,64_,7.5e-06,2,True,lidar,186.83052978515624
916,200,True,150,32_,1e-05,2,True,lidar,187.255756632487
921,200,True,150,32_,7.5e-06,2,True,lidar,189.5171793619792
922,200,True,150,16_32_64_,7.5e-06,4,True,lidar,189.69454549153645
